Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
A8CG90	PA2B2_DABRR	reviewed	Basic phospholipase A2 Drk-b2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Daboia russelii (Russel's viper) (Vipera russelii)	137	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0CC17	OXLA_BOTAT	reviewed	L-amino-acid oxidase (BatroxLAAO) (LAO) (EC 1.4.3.2)		Bothrops atrox (Barba amarilla) (Fer-de-lance)	506	Flavin monoamine oxidase family, FIG1 subfamily
P86805	PA2B9_CRODM	reviewed	Basic phospholipase A2 9 (svPLA2) (EC 3.1.1.4) (Cdc-9) (Phosphatidylcholine 2-acylhydrolase)		Crotalus durissus cumanensis (South American rattlesnake)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DMG9	OXLA_BOTFO	reviewed	L-amino-acid oxidase Bfon20 (LAAO) (LAO) (EC 1.4.3.2) (Fragment)		Bothrops fonsecai (Fonseca's lancehead) (Rhinocerophis fonsecai)	15	Flavin monoamine oxidase family, FIG1 subfamily
B5AR80	OXLA_BOTPA	reviewed	L-amino-acid oxidase (Bp-LAAO) (LAO) (EC 1.4.3.2) (Fragment)		Bothrops pauloensis (Neuwied's lancehead) (Bothrops neuwiedi pauloensis)	503	Flavin monoamine oxidase family, FIG1 subfamily
X2L4E2	OXLA_BOTPC	reviewed	L-amino acid oxidase (Bpic-LAAO) (LAO) (EC 1.4.3.2) (Fragment)		Bothrops pictus (Desert lancehead)	498	Flavin monoamine oxidase family, FIG1 subfamily
Q805A2	PA2BN_PROFL	reviewed	Basic phospholipase A2 PLA-N (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2 PLA-N(O))		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DKT6	PA2B_BITAR	reviewed	Phospholipase A2 bitanarin (svPLA2) (EC 3.1.1.4) (Bitis arietans nicotinic acetylcholine receptor inhibitor) (Phosphatidylcholine 2-acylhydrolase) (Fragments)		Bitis arietans (African puff adder)	35	Phospholipase A2 family, Group II subfamily
Q9PVE3	PA2H3_BOTAS	reviewed	Basic phospholipase A2 homolog M1-3-3 (svPLA2 homolog)		Bothrops asper (Terciopelo)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
Q6H3C7	PA2AD_TRIST	reviewed	Acidic phospholipase A2 Ts-A4 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	139	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q9PVF2	PA2AE_CALRH	reviewed	Acidic phospholipase A2 H1E6 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	139	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
O42191	PA2A7_GLOHA	reviewed	Acidic phospholipase A2 A (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Gloydius halys (Chinese water mocassin) (Agkistrodon halys)	124	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DJN4	PA2B2_CROMT	reviewed	Basic phospholipase A2 CB2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Crotalus mitchellii mitchellii (San Lucan speckled rattlesnake)	23	Phospholipase A2 family, Group II subfamily
P0CAS2	PA2B6_CRODO	reviewed	Phospholipase A2 crotoxin basic chain (CB) (Crotoxin-B) (svPLA2) (EC 3.1.1.4) (CdcolF6a) (F6a) (Phosphatidylcholine 2-acylhydrolase)		Crotalus durissus collilineatus (Brazilian rattlesnake)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
C7G1G6	PA2B3_PROFL	reviewed	Basic phospholipase A2 BP-III (svPLA2) (EC 3.1.1.4) (Basic protein III) (BPIII) (Phosphatidylcholine 2-acylhydrolase)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P86974	PA2BD_BOTLC	reviewed	Basic phospholipase A2 (blD-PLA2) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Bothrops leucurus (Whitetail lancehead)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DI90	OXLA2_DABRR	reviewed	L-amino-acid oxidase L2 (LAAO-L2) (LAO) (EC 1.4.3.2) (Fragment)		Daboia russelii (Russel's viper) (Vipera russelii)	20	Flavin monoamine oxidase family, FIG1 subfamily
Q1ZY03	PA2B_DEIAC	reviewed	Basic phospholipase A2 DAV-N6 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q6H3D7	PA2HH_TRIST	reviewed	Basic phospholipase A2 homolog CTs-R6 (svPLA2 homolog)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	137	Phospholipase A2 family, Group II subfamily, N49 sub-subfamily
P0DTS8	PA2H2_BOTBZ	reviewed	Basic phospholipase A2 homolog 2 (svPLA2 homolog) (Brazilitoxin II) (BbTX-II)		Bothrops brazili (Brazil's lancehead)	121	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
Q2YHJ4	PA2HB_TRIBO	reviewed	Basic phospholipase A2 homolog Tbo-K49 (svPLA2 homolog)		Trimeresurus borneensis (Borneo pit viper)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P0DUN7	PA2H_LACMU	reviewed	Basic phospholipase A2 homolog LmutTX (svPLA2 homolog) (LmmV toxin) (Lys49 PLA2-like)		Lachesis muta muta (Bushmaster)	120	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
Q9PRT7	PA2H4_BOTAS	reviewed	Phospholipase A2 homolog 4 (svPLA2 homolog) (Myotoxin IV) (Fragment)		Bothrops asper (Terciopelo)	23	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P86456	PA2A4_BOTAL	reviewed	Acidic phospholipase A2 SpII RP4 (Ba SpII RP4) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Bothrops alternatus (Urutu) (Rhinocerophis alternatus)	121	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P59170	PA2A4_ECHCS	reviewed	Acidic phospholipase A2 4 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Echis carinatus sochureki (Saw-scaled viper)	139	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P81479	PA2A4_TRIGA	reviewed	Acidic phospholipase A2 4 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2 isozyme IV) (PLA2-IV)		Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P00620	PA2A_BITGA	reviewed	Acidic phospholipase A2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Bitis gabonica (Gaboon adder) (Gaboon viper)	118	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q8QG87	PA2A_BOTIN	reviewed	Acidic phospholipase A2 BITP01A (svPLA2) (EC 3.1.1.4) (BinTX-I) (Phosphatidylcholine 2-acylhydrolase)		Bothrops insularis (Golden lancehead) (Lachesis insularis)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DL18	CRVP_OVOOK	reviewed	Cysteine-rich venom protein okinavin (CRVP) (Fragment)		Ovophis okinavensis (Ryukyu Island pit viper) (Trimeresurus okinavensis)	30	CRISP family
F8S0Y4	CRVP_CROAD	reviewed	Cysteine-rich secretory protein (CRVP)		Crotalus adamanteus (Eastern diamondback rattlesnake)	240	CRISP family
Q8JI39	CRVP_PROFL	reviewed	Cysteine-rich venom protein triflin (CRVP)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	240	CRISP family
F8QN53	PA2A2_VIPRE	reviewed	Acidic phospholipase A2 Vur-PL2B (Vur-PL2) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Vipera renardi (Steppe viper) (Vipera ursinii renardi)	137	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P82895	PA2A4_TRIST	reviewed	Acidic phospholipase A2 4 (svPLA2) (EC 3.1.1.4) (PLA2-IV) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	24	Phospholipase A2 family, Group II subfamily
P58464	PA2H3_BOTPI	reviewed	Basic phospholipase A2 homolog piratoxin-3 (svPLA2 homolog) (MP-III 4R) (Piratoxin-III) (PrTX-III)		Bothrops pirajai (Piraja's lancehead)	120	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q9PVF0	PA2AB_CALRH	reviewed	Acidic phospholipase A2 S1E6-b (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	126	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q9YGJ7	PA2A8_DABPA	reviewed	Acidic phospholipase A2 VP8 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Daboia palaestinae (Palestine viper) (Vipera palaestinae)	137	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P82896	PA2A5_TRIST	reviewed	Acidic phospholipase A2 5 (svPLA2) (EC 3.1.1.4) (PLA2-V) (Phosphatidylcholine 2-acylhydrolase)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q9PVF1	PA2AA_CALRH	reviewed	Acidic phospholipase A2 S1E6-a (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	126	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q7ZTA7	PA2AD_CROOA	reviewed	Acidic phospholipase A2 CoaPLA2 (svPLA2) (EC 3.1.1.4) (Cvv-E6d) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2 CoaTx-I)		Crotalus oreganus abyssus (Grand Canyon rattlesnake) (Crotalus abyssus)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q6H3D0	PA2AA_TRIST	reviewed	Acidic phospholipase A2 Ts-A1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q2YHJ5	PA2AB_TRIPE	reviewed	Acidic phospholipase A2 Tpu-E6b (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Trimeresurus puniceus (Flat-nosed pitviper)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DJN1	PA2B1_CRODM	reviewed	Basic phospholipase A2 CB1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Crotalus durissus cumanensis (South American rattlesnake)	23	Phospholipase A2 family, Group II subfamily
P0DQH9	OXLAB_CERCE	reviewed	L-amino acid oxidase (CC-LAAO) (LAO) (EC 1.4.3.2) (Fragments)		Cerastes cerastes (Horned desert viper)	172	Flavin monoamine oxidase family, FIG1 subfamily
P0DI92	PA2H_BOTMA	reviewed	Phospholipase A2 homolog BmarPLA2 (svPLA2 homolog) (Fragment)		Bothrops marajoensis (Marajo lancehead)	33	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P0C616	PA2HA_BOTAS	reviewed	Basic phospholipase A2 homolog 4a (svPLA2 homolog) (Myotoxin IVa) (MT-IVa)		Bothrops asper (Terciopelo)	137	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
Q6EAN6	PA2HA_SISTE	reviewed	Acidic phospholipase A2 homolog sistruxin A (SA) (svPLA2) [Cleaved into: Sistruxin chain A; Sistruxin chain B; Sistruxin chain C]		Sistrurus tergeminus (Western massasauga) (Sistrurus catenatus tergeminus)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P04361	PA2HB_AGKPI	reviewed	Basic phospholipase A2 homolog AppP2 (svPLA2 homolog) (APP-K49)		Agkistrodon piscivorus piscivorus (Eastern cottonmouth)	121	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
B5U6Y4	PA2HS_ECHOC	reviewed	Phospholipase A2 homolog (svPLA2 homolog) (PLA2-Eoc15)		Echis ocellatus (Ocellated saw-scaled viper)	138	Phospholipase A2 family, Group II subfamily, S49 sub-subfamily
P0DMT1	PA2HS_ECHPL	reviewed	Phospholipase A2 homolog EPL_00195 (svPLA2 homolog)		Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi)	121	Phospholipase A2 family, Group II subfamily, S49 sub-subfamily
P0DKU1	PA2H_GLOUS	reviewed	Basic phospholipase A2 homolog Gln49-PLA2 (svPLA2 homolog)		Gloydius ussuriensis (Ussuri mamushi) (Gloydius blomhoffii ussuriensis)	122	Phospholipase A2 family, Group II subfamily, Q49 sub-subfamily
Q6JK69	PA2H1_BOTAT	reviewed	Phospholipase A2 homolog 1 (svPLA2 homolog) (Myotoxin I)		Bothrops atrox (Barba amarilla) (Fer-de-lance)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
C0HL51	KTIL_BOTSC	reviewed	Kazal-type inhibitor-like protein (KTIL)		Bothriechis schlegelii (Eyelash palm pitviper)	54	
Q2YHJ9	PA2HA_TRIPE	reviewed	Basic phospholipase A2 homolog Tpu-K49a (svPLA2 homolog)		Trimeresurus puniceus (Flat-nosed pitviper)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
Q3HLQ4	PA2HB_PROMU	reviewed	Basic phospholipase A2 homolog TM-N49 (svPLA2 homolog)		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	138	Phospholipase A2 family, Group II subfamily, N49 sub-subfamily
Q2PWA3	PA2HP_PROMU	reviewed	Basic phospholipase A2 homolog promutoxin (svPLA2 homolog)		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	138	Phospholipase A2 family, Group II subfamily, R49 sub-subfamily
P0DJR2	PA2AB_CROHD	reviewed	Acidic phospholipase A2 CHA-E6b (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Crotalus horridus (Timber rattlesnake)	23	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DJP4	PA2AC_TRIPE	reviewed	Acidic phospholipase A2 Tpu-E6c (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragments)		Trimeresurus puniceus (Flat-nosed pitviper)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DJN0	PA2B1_CROVE	reviewed	Basic phospholipase A2 CB1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Crotalus vegrandis (Uracoan rattlesnake) (Crotalus durissus vegrandis)	23	Phospholipase A2 family, Group II subfamily
C0HKC4	PA2B1_AGKPC	reviewed	Basic phospholipase A2 APC-D49 (svPLA2) (EC 3.1.1.4) (ApcP3) (Phosphatidylcholine 2-acylhydrolase)		Agkistrodon piscivorus conanti (Florida cottonmouth)	123	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0C942	PA2B1_LACMU	reviewed	Basic phospholipase A2 LmTX-I (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Lachesis muta muta (Bushmaster)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P18999	PA2_DABSI	reviewed	Phospholipase A2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	22	Phospholipase A2 family, Group II subfamily
P86535	OXLA1_DABRR	reviewed	L-amino-acid oxidase L1 (LAAO-L1) (LAO) (EC 1.4.3.2) (Fragment)		Daboia russelii (Russel's viper) (Vipera russelii)	20	Flavin monoamine oxidase family, FIG1 subfamily
P0DI89	OXLA_BOTLC	reviewed	L-amino-acid oxidase (Bl-LAAO) (LAO) (EC 1.4.3.2) (Fragment)		Bothrops leucurus (Whitetail lancehead)	30	Flavin monoamine oxidase family, FIG1 subfamily
P0CJ40	OXLA_BOTMA	reviewed	L-amino-acid oxidase (BmarLAAO) (LAO) (EC 1.4.3.2) (Fragment)		Bothrops marajoensis (Marajo lancehead)	39	Flavin monoamine oxidase family, FIG1 subfamily
P0CAS5	PA2BE_CRODU	reviewed	Basic phospholipase A2 F15 (svPLA2) (EC 3.1.1.4) (CdtF15) (Phosphatidylcholine 2-acylhydrolase)		Crotalus durissus terrificus (South American rattlesnake)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0CC16	OXLA_AGKCL	reviewed	L-amino-acid oxidase (ACL-LAO) (LAAO) (EC 1.4.3.2) (Fragment)		Agkistrodon contortrix laticinctus (Broad-banded copperhead) (Agkistrodon mokasen laticinctus)	19	Flavin monoamine oxidase family, FIG1 subfamily
B3EWI9	OXLA_BOTMT	reviewed	L-amino-acid oxidase (Bm-LAO) (LAAO) (EC 1.4.3.2) (Fragments)		Bothrops matogrossensis (Pitviper) (Bothrops neuwiedi matogrossensis)	31	Flavin monoamine oxidase family, FIG1 subfamily
P0CAS3	PA2BC_CRODR	reviewed	Basic phospholipase A2 Cdr-12 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Crotalus durissus ruruima (South American rattlesnake) (Mt. Roraima rattlesnake)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P18997	PA2B_GLOHA	reviewed	Basic phospholipase A2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Gloydius halys (Chinese water mocassin) (Agkistrodon halys)	32	Phospholipase A2 family, Group II subfamily
P18998	PA2HA_CROSS	reviewed	Phospholipase A2 homolog mojave toxin acidic chain (Mtx-a) [Cleaved into: Mojave toxin acidic chain A; Mojave toxin acidic chain B; Mojave toxin acidic chain C]		Crotalus scutulatus scutulatus (Mojave rattlesnake)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DKL7	PA2HA_VIPRE	reviewed	Basic phospholipase A2 homolog Vur-S49 analog (svPLA2 homolog) (Fragment)		Vipera renardi (Steppe viper) (Vipera ursinii renardi)	23	Phospholipase A2 family, Group II subfamily
Q6EER4	PA2B_BOTSC	reviewed	Basic phospholipase A2 Bs-N6 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Bothriechis schlegelii (Eyelash palm pitviper)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
C0HKC1	PA2HB_AGKPC	reviewed	Basic phospholipase A2 homolog APC-K49 (svPLA2 homolog) (ApcP2)		Agkistrodon piscivorus conanti (Florida cottonmouth)	121	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P49121	PA2H1_AGKCL	reviewed	Basic phospholipase A2 homolog MT1 (svPLA2 homolog) (ACL myotoxin)		Agkistrodon contortrix laticinctus (Broad-banded copperhead) (Agkistrodon mokasen laticinctus)	137	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P0DUP1	PA2H_BOTDP	reviewed	Basic phospholipase A2 homolog Bneu-I (svPLA2 homolog) (B.neuwiedii myotoxin I) (Lys49 PLA2-like) (Fragment)		Bothrops diporus (Chaco lancehead) (Bothrops neuwiedi diporus)	40	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P0DUN8	PA2H4_BOTMT	reviewed	Basic phospholipase A2 homolog BmatTX-IV (svPLA2 homolog) (Lys49 PLA2-like) (Fragment)		Bothrops matogrossensis (Pitviper) (Bothrops neuwiedi matogrossensis)	51	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P22640	PA2H_PROMU	reviewed	Basic phospholipase A2 homolog (svPLA2 homolog) (TMV-K49)		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	122	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
Q90249	PA2H1_BOTJR	reviewed	Basic phospholipase A2 homolog bothropstoxin-I (Bothropstoxin I) (BthTx-I) (BtxtxI) (svPLA2 homolog) (BOJU-I) (Myotoxic phospholipase A2-like) (Phospholipase A2 homolog 1)		Bothrops jararacussu (Jararacussu)	137	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
Q9PRP7	SL114_ECHCA	reviewed	Snaclec carinactivase-1 regulatory subunit 14 kDa chain (CA-1 14 kDa subunit) (CA-1 25 kDa subunit chain 1) (Fragment)		Echis carinatus (Saw-scaled viper)	30	Snaclec family
Q9PRP8	SL117_ECHCA	reviewed	Snaclec carinactivase-1 regulatory subunit 17 kDa chain (CA-1 17 kDa subunit) (CA-1 25 kDa subunit chain 2) (Fragment)		Echis carinatus (Saw-scaled viper)	30	Snaclec family
B5U6Y6	SL124_ECHOC	reviewed	Snaclec CTL-Eoc124 (C-type lectin-like CTL-Eoc124)		Echis ocellatus (Ocellated saw-scaled viper)	146	Snaclec family
B5U6Y7	SL125_ECHOC	reviewed	Snaclec CTL-Eoc125 (C-type lectin-like CTL-Eoc125)		Echis ocellatus (Ocellated saw-scaled viper)	150	Snaclec family
Q9PSM6	SL1A_BOTJA	reviewed	Snaclec GPIB-binding protein subunit alpha (GPIb-BP subunit alpha)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	142	Snaclec family
Q9PSM5	SL1B_BOTJA	reviewed	Snaclec GPIB-binding protein subunit beta (GPIb-BP subunit beta)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	123	Snaclec family
P0C8J2	SL1C1_VIPAA	reviewed	Snaclec factor X-activator 1 light chain 1 (VAFXA-I LC1) (Fragment)	LC1	Vipera ammodytes ammodytes (Western sand viper)	13	Snaclec family
P0C8J3	SL1C2_VIPAA	reviewed	Snaclec factor X-activator 1 light chain 2 (VAFXA-I LC2) (Fragment)	LC2	Vipera ammodytes ammodytes (Western sand viper)	11	Snaclec family
Q6X5T5	SL1_BITAR	reviewed	Snaclec 1 (C-type lectin 1)		Bitis arietans (African puff adder)	146	Snaclec family
C0HJQ0	SL1_BOTDP	reviewed	Snaclec (Fragments)		Bothrops diporus (Chaco lancehead) (Bothrops neuwiedi diporus)	32	Snaclec family
Q719L9	SL1_CRODU	reviewed	Snaclec crotocetin-1 (CRC1)		Crotalus durissus terrificus (South American rattlesnake)	158	Snaclec family
Q6X5S9	SL1_ECHCS	reviewed	Snaclec 1 (C-type lectin 1) (CTL-1)		Echis carinatus sochureki (Saw-scaled viper)	148	Snaclec family
Q6X5T0	SL1_ECHOC	reviewed	Snaclec 1 (C-type lectin 1) (CTL-1)		Echis ocellatus (Ocellated saw-scaled viper)	148	Snaclec family
Q6X5S3	SL1_ECHPL	reviewed	Snaclec 1 (C-type lectin 1) (CTL-1)		Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi)	148	Snaclec family
B0VXV0	SL1_SISCA	reviewed	Snaclec 1 (C-type lectin isoform 1)		Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii)	146	Snaclec family
Q6X5S5	SL27_ECHOC	reviewed	Snaclec 27 (C-type lectin 27) (CTL-27) (Fragment)		Echis ocellatus (Ocellated saw-scaled viper)	148	Snaclec family
P0C8J4	SL2C1_VIPAA	reviewed	Snaclec factor X-activator 2 light chain 1 (VAFXA-I LC1) (Fragment)		Vipera ammodytes ammodytes (Western sand viper)	19	Snaclec family
P0C8J5	SL2C2_VIPAA	reviewed	Snaclec factor X-activator 2 light chain 2 (VAFXA-II LC2) (Fragment)	LC2	Vipera ammodytes ammodytes (Western sand viper)	16	Snaclec family
P0C8I8	SL2_BITAR	reviewed	Snaclec bitiscetin-2 (Fragment)		Bitis arietans (African puff adder)	12	Snaclec family
Q6T7B6	SL2_BITGA	reviewed	Snaclec 2 (C-type lectin 2)		Bitis gabonica (Gaboon adder) (Gaboon viper)	156	Snaclec family
Q6X5S7	SL2_ECHOC	reviewed	Snaclec 2 (C-type lectin 2) (CTL-2)		Echis ocellatus (Ocellated saw-scaled viper)	148	Snaclec family
B0VXV1	SL2_SISCA	reviewed	Snaclec 2 (C-type lectin isoform 2)		Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii)	142	Snaclec family
Q6T7B5	SL3_BITGA	reviewed	Snaclec 3 (C-type lectin 3)		Bitis gabonica (Gaboon adder) (Gaboon viper)	157	Snaclec family
Q6X5S8	SL3_ECHCS	reviewed	Snaclec 3 (C-type lectin 3) (CTL-3) (Fragment)		Echis carinatus sochureki (Saw-scaled viper)	148	Snaclec family
B0VXV2	SL3_SISCA	reviewed	Snaclec 3 (C-type lectin isoform 3)		Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii)	151	Snaclec family
Q6X5S2	SL4_ECHPL	reviewed	Snaclec 4 (C-type lectin 4) (CTL-4)		Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi)	148	Snaclec family
Q6X5T3	SL5_BITAR	reviewed	Snaclec 5 (C-type lectin 5) (CTL-5)		Bitis arietans (African puff adder)	152	Snaclec family
Q6X5S1	SL5_ECHPL	reviewed	Snaclec 5 (C-type lectin 5) (CTL-5)		Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi)	146	Snaclec family
Q6X5T2	SL6_BITAR	reviewed	Snaclec 6 (C-type lectin 6) (CTL-6)		Bitis arietans (African puff adder)	148	Snaclec family
J3SBN9	SL6_CROAD	reviewed	C-type lectin 6		Crotalus adamanteus (Eastern diamondback rattlesnake)	140	Snaclec family
Q6X5S0	SL7_ECHPL	reviewed	Snaclec 7 (C-type lectin 7) (CTL-7)		Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi)	148	Snaclec family
Q6X5T1	SL8_BITAR	reviewed	Snaclec 8 (C-type lectin 8) (CTL-8)		Bitis arietans (African puff adder)	148	Snaclec family
Q6X5S6	SL8_ECHCS	reviewed	Snaclec 8 (C-type lectin 8) (CTL-8)		Echis carinatus sochureki (Saw-scaled viper)	148	Snaclec family
Q9PS05	SL9A_BOTJA	reviewed	Snaclec coagulation factor IX/factor X-binding protein subunit A (IX/X-bp subunit A) (Fragment)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	30	Snaclec family
J3SBP0	SL9A_CROAD	reviewed	C-type lectin 9a		Crotalus adamanteus (Eastern diamondback rattlesnake)	157	Snaclec family
Q9PSM9	SL9A_ECHCA	reviewed	Snaclec coagulation factor IX/factor X-binding protein subunit A (IX/X-BP subunit A) (ECLV IX/X-BP subunit A)		Echis carinatus (Saw-scaled viper)	131	Snaclec family
P23806	SL9A_PROFL	reviewed	Snaclec coagulation factor IX/factor X-binding protein subunit A (IX/X-bp subunit A)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	152	Snaclec family
Q71RR2	SL9B1_TRIST	reviewed	Snaclec coagulation factor IX/factor X-binding protein subunit B1 (IX/X-bp subunit B1)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	144	Snaclec family
